slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2012-01-18-stsci,SWC,2012-01-18,14,Space Telescope Science Institute,US,39.332604,-76.62319
2012-02-20-itcp,SWC,2012-02-20,50,International Centre for Theoretical Physics,IT,45.703255,13.718013
2012-02-23-toronto,SWC,2012-02-23,28,University of Toronto,CA,43.661476,-79.395189
2012-03-07-indiana,SWC,2012-03-07,39,Indiana University,US,39.1663815,-86.526621
2012-03-26-mbari,SWC,2012-03-26,38,Monterey Bay Aquarium Research Institute,US,36.802151,-121.788163
2012-03-28-nersc,SWC,2012-03-28,35,NERSC,US,37.8083814,-122.2675787
2012-04-02-chicago,SWC,2012-04-02,35,University of Chicago,US,41.7901128,-87.6007318
2012-04-14-utahstate,SWC,2012-04-14,32,Utah State University,US,41.7449488,-111.8042944
2012-04-30-ucl,SWC,2012-04-30,44,University College London,GB,51.5598815,-0.1334579
2012-05-07-michiganstate,SWC,2012-05-07,55,Michigan State University,US,42.7272884,-84.482106
2012-05-14-newcastle,SWC,2012-05-14,41,University of Newcastle,GB,54.980095,-1.6146142
2012-05-16-alberta,SWC,2012-05-16,38,University of Alberta,CA,53.5234543,-113.5259951
2012-05-22-ubc,SWC,2012-05-22,39,University of British Columbia,CA,49.2617149,-123.2534305
2012-06-18-jhu,SWC,2012-06-18,20,Johns Hopkins University,US,39.3275798,-76.6207579
2012-06-28-inria,SWC,2012-06-28,28,INRIA (Paris),FR,48.831673,2.355623
2012-07-09-mit,SWC,2012-07-09,36,Massachusetts Institute of Technology,US,42.3591326,-71.093201
2012-07-10-ral,SWC,2012-07-10,24,Science & Technology Facilities Council,GB,51.573333,-1.314722
2012-07-12-waterloo,SWC,2012-07-12,40,University of Waterloo,CA,43.4701302,-80.5357712
2012-07-16-halifax,SWC,2012-07-16,40,Saint Mary's University,CA,44.6322608,-63.5802627
2012-07-19-utsc,SWC,2012-07-19,39,University of Toronto (Scarborough),CA,43.7835514,-79.1863972
2012-08-26-ttt-online,"TTT,online",2012-08-26,21,Software Carpentry,W3,-48.876667,-123.393333
2012-09-13-dafx,SWC,2012-09-13,33,University of York,GB,53.9481933,-1.0529144
2012-09-17-oslo,SWC,2012-09-17,34,University of Oslo,NO,59.9399586,10.7217496
2012-09-28-columbia,SWC,2012-09-28,39,Columbia University,US,40.8080777,-73.9635678
2012-10-08-purdue,SWC,2012-10-08,42,Purdue University,US,40.4282668,-86.9143245
2012-10-11-ttt-online,"TTT,online",2012-10-11,25,Software Carpentry,W3,-48.876667,-123.393333
2012-10-17-lbl,SWC,2012-10-17,40,Lawrence Berkeley National Laboratory,US,37.8759281,-122.2500418
2012-10-18-ubc,SWC,2012-10-18,62,University of British Columbia,CA,49.2617149,-123.2534305
2012-10-20-ucb,SWC,2012-10-20,29,University of California Berkeley,US,37.8695,-122.258949
2012-10-22-newcastle,SWC,2012-10-22,31,University of Newcastle,GB,54.980095,-1.6146142
2012-10-23-caltech,SWC,2012-10-23,34,California Institute of Technology,US,34.141411,-118.1249
2012-10-25-gmu,SWC,2012-10-25,7,George Mason University,US,38.831513,-77.308746
2012-10-30-oxford,SWC,2012-10-30,19,University of Oxford,GB,51.7571373,-1.2569052
2012-11-08-mcmaster,SWC,2012-11-08,31,McMaster University,CA,43.2613285,-79.9202476
2012-11-10-wustl,SWC,2012-11-10,21,Washington University in St. Louis,US,38.6480562,-90.3050959
2012-11-15-scripps,SWC,2012-11-15,39,Scripps Institute,US,32.8953297,-117.2421882
